category,name,price,image_url
М'ясо,Вуха свинячі,12.90 грн/100г,https://images.silpo.ua/products/300x300/webp/e5014341-88ec-49ef-bd8a-ba7b4d36bbee.png
М'ясо,Ковбаски фірмові,30.94 грн/100г,https://images.silpo.ua/products/300x300/webp/a20a1752-17e1-4c3e-9c48-0e63e881f7b8.png
М'ясо,Ребра томлені «М'ясторія» з мармурової яловичини з фірмовим соусом,599.00 грн/500г,https://images.silpo.ua/products/300x300/webp/bf19ff8a-e4fc-40fe-a807-f0904cf3e6a3.jpg
М'ясо,Сало бутербродне зі шкварками охолоджене,11.49 грн/170г,https://images.silpo.ua/products/300x300/webp/4d175cb7-725d-4823-9756-c1fdc2b3fa1c.png
М'ясо,Свиняча рулька Mr.Grill «Чеська» заморожена,21.90 грн/100г,https://images.silpo.ua/products/300x300/webp/159b2238-afd5-4b3d-94dd-63a520d1a758.png
М'ясо,Особуко томлена М'ясторія з мармурової яловичини з соусом барбекю,464.00 грн/500г,https://images.silpo.ua/products/300x300/webp/f3a87f45-0e4d-4dde-9ae4-29b1872ebc6e.jpg
М'ясо,Ковбаски #ЦеМ'ясо Розковбас курка-свинина рублені з прянощами та спеціями охолоджені,144.00 грн/500г,https://images.silpo.ua/products/300x300/webp/dc346c91-d7a8-4bb8-a7cc-584105babafd.png
М'ясо,Смалець свинячий фермерський,12.69 грн/170г,https://images.silpo.ua/products/300x300/webp/44d28c10-fd04-4825-af51-eba78127917c.png
М'ясо,Сало бутербродне з часником охолоджене,16.49 грн/170г,https://images.silpo.ua/products/300x300/webp/c344d739-909e-48ea-99ad-9309ae285e26.png
М'ясо,Качина ніжка заморожена,25.90 грн/100г,https://images.silpo.ua/products/300x300/webp/556c0a47-8786-4d5f-9679-ec0a5b0de1df.png
М'ясо,Ковбаски курячі зі шпинатом та сиром охолоджені,25.19 грн/100г,https://images.silpo.ua/products/300x300/webp/1cf39b9a-585e-4ada-b9bb-f32f89ee013f.png
М'ясо,Яловичина молода Ekro Cowboy Wet Aged на кістці охолоджена в/у,99.90 грн/100г,https://images.silpo.ua/products/300x300/webp/753549d1-f328-4f87-8fb4-ac16a7da24a7.png
М'ясо,Свиняча почеревина без кістки,19.49 грн/100г,https://images.silpo.ua/products/300x300/webp/132ab964-94c4-46cd-b874-7a6f9f23e93e.png
М'ясо,Ковбаски для смаження «Нюрнберзькі»,24.40 грн/100г,https://images.silpo.ua/products/300x300/webp/2ed02c48-2aba-48dc-b15c-13f6e7363546.png
М'ясо,Ковбаса «Домашня»,18.90 грн/100г,https://images.silpo.ua/products/300x300/webp/95ec2613-791e-48a6-9f8d-78a50aa930c1.png
М'ясо,Печінка свиняча охолоджена,5.99 грн/100г,https://images.silpo.ua/products/300x300/webp/beb461a0-92ae-44b3-acaa-3cdda67f4d62.png
